VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
5YJSA1H10E,Kitsap,Port Orchard,WA,98366.0,2014,TESLA,MODEL S,BEV,208.0,69900.0,POINT (-122.6064912 47.5236145)
JA4J24A59K,Thurston,Lacey,WA,98503.0,2019,MITSUBISHI,OUTLANDER,PHEV,22.0,0.0,POINT (-122.80665 47.019564)
5YJ3E1EA0K,Thurston,Olympia,WA,98501.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.8733203 47.0133209)
JTDKARFP3K,Thurston,Olympia,WA,98501.0,2019,TOYOTA,PRIUS PRIME,PHEV,25.0,0.0,POINT (-122.8733203 47.0133209)
KNDCC3LG1L,King,Seattle,WA,98144.0,2020,KIA,NIRO,BEV,239.0,0.0,POINT (-122.3016563 47.5858977)
7G2CEHEDXR,Thurston,Tumwater,WA,98501.0,2024,TESLA,CYBERTRUCK,BEV,0.0,0.0,POINT (-122.8733203 47.0133209)
1G1FZ6S09K,Kitsap,Hansville,WA,98340.0,2019,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.5638082 47.8995458)
5YJ3E1EB1J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.1207376 47.6705374)
5UXKT0C57J,Kitsap,Poulsbo,WA,98370.0,2018,BMW,X5,PHEV,13.0,0.0,POINT (-122.6368884 47.7469547)
YV4ED3UA3N,Kitsap,Poulsbo,WA,98370.0,2022,VOLVO,XC40,BEV,0.0,0.0,POINT (-122.6368884 47.7469547)
JN1AZ0CPXB,King,Bellevue,WA,98008.0,2011,NISSAN,LEAF,BEV,73.0,0.0,POINT (-122.1197677 47.6103472)
3C3CFFGE0F,King,Seattle,WA,98133.0,2015,FIAT,500,BEV,87.0,0.0,POINT (-122.342434 47.736655)
1N4AZ0CPXG,King,Seattle,WA,98119.0,2016,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.36731 47.6377681)
5YJ3E1EA3L,Snohomish,Bothell,WA,98012.0,2020,TESLA,MODEL 3,BEV,266.0,0.0,POINT (-122.206146 47.839957)
1N4AZ1CP3J,Thurston,Olympia,WA,98501.0,2018,NISSAN,LEAF,BEV,151.0,0.0,POINT (-122.8733203 47.0133209)
1N4BZ0CP3H,Kitsap,Bremerton,WA,98310.0,2017,NISSAN,LEAF,BEV,107.0,0.0,POINT (-122.6231895 47.5930874)
1N4BZ0CPXG,King,Seattle,WA,98117.0,2016,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.377938 47.690166)
1G1FY6S02L,Kitsap,Port Orchard,WA,98366.0,2020,CHEVROLET,BOLT EV,BEV,259.0,0.0,POINT (-122.6064912 47.5236145)
5YJSA1E23G,Thurston,Olympia,WA,98501.0,2016,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.8733203 47.0133209)
JN1AZ0CP0B,King,Seattle,WA,98115.0,2011,NISSAN,LEAF,BEV,73.0,0.0,POINT (-122.3008235 47.6862671)
5YJ3E1EB9J,Snohomish,Everett,WA,98208.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.2032349 47.8956271)
5YJ3E1EA5K,Island,Oak Harbor,WA,98277.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.6447164 48.3015146)
1N4AZ1CP5J,King,Seattle,WA,98136.0,2018,NISSAN,LEAF,BEV,151.0,0.0,POINT (-122.3894209 47.5407358)
JM3KKDHA1R,Thurston,Olympia,WA,98512.0,2024,MAZDA,CX-90,PHEV,26.0,0.0,POINT (-122.957046 46.991391)
1N4AZ0CP5F,Thurston,Olympia,WA,98512.0,2015,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.957046 46.991391)
KNDCR3L11P,Thurston,Olympia,WA,98502.0,2023,KIA,NIRO,BEV,0.0,0.0,POINT (-122.943445 47.059252)
5YJSA1E22H,Thurston,Olympia,WA,98501.0,2017,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.8733203 47.0133209)
KNDRMDLH6R,Thurston,Olympia,WA,98502.0,2024,KIA,SORENTO,PHEV,32.0,0.0,POINT (-122.943445 47.059252)
5YJ3E1EB7K,Snohomish,Bothell,WA,98012.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.206146 47.839957)
5UXTA6C08P,King,Seattle,WA,98112.0,2023,BMW,X5,PHEV,30.0,0.0,POINT (-122.300312 47.629782)
1N4AZ0CP1D,Kitsap,Poulsbo,WA,98370.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.6368884 47.7469547)
5YJ3E1EB5L,Snohomish,Mountlake Terrace,WA,98043.0,2020,TESLA,MODEL 3,BEV,322.0,0.0,POINT (-122.306706 47.792043)
5YJSA1E21G,Snohomish,Bothell,WA,98021.0,2016,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.2107298 47.7977268)
